Site,Transect_ID,BS,IC,LAC,DAC,CLC,GLC,RMC,SMC,PC_AC,PC,PG,AG,AF,PF,WL,L,CP,Total,Total_BioCrust,Total_PC,BSC_and_PCAC,Total_Algal,Total_Lichen,Total_Moss,Total_Cover,P_BS,P_PC,P_PC_AC,P_IC,P_LAC,P_DAC,P_CLC,P_GLC,P_RMC,P_SMC,P_PG,P_AG,P_AF,P_PF,P_WL,P_L,P_CP,Percent_BS,Percent_PC,Percent_Biocrust,Percent_Plant,Percent _Litter,Percent_Total,Surface_0,Surface_1,Surface_2,Surface_3,Surface_4,Surface_5,Surface_6,Sub_0,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Sub_6,clay,silt,sand,verycoarse,coarse,medium,fine,veryfine,Ave_Sur_Score,Ave_Sub_Score,AWC,pH,EC,Mg,Ca,Na,NO3,P,K,NH4,SAR,BSC_w_PCAC,PC_only
1,MPT2,0,12,38,16,9,6,0,0,67,55,34,0,36,0,3,47,2,325,81,122,148,133,15,0,325,0,16.92,20.62,3.69,11.69,4.92,2.77,1.85,0,0,10.46,0,11.08,0,0.92,14.46,0.62,0,37.54,24.92,21.54,16,100,0,1,1,4,1,2,8,0,0,6,6,0,1,4,22.74,27.95,46.05,4.12,3.31,13.84,48.73,30.01,4.529411765,3.470588235,5.84,7,1.53,0.73,2.39,12.6,1.04,15.6,14.2,0.04,10.09,45.54,16.92
2,MPT3,0,0,0,3,1,0,0,0,170,0,100,0,14,0,3,34,0,325,4,170,174,173,1,0,325,0,0,52.31,0,0,0.92,0.31,0,0,0,30.77,0,4.31,0,0.92,10.46,0,0,52.31,1.23,35.08,11.38,100,0,1,4,5,0,1,6,0,0,2,7,2,1,5,44.94,36.6,7.62,13.29,13.1,19.62,30.03,23.96,3.823529412,4,3.01,6.3,3.9,0.13,0.37,3.58,0.09,0.01,3.55,0.03,7.16,53.54,0
3,MPT6,2,98,118,14,2,1,3,0,0,0,43,0,0,0,4,40,0,325,236,0,236,230,3,3,325,0.62,0,0,30.15,36.31,4.31,0.62,0.31,0.92,0,13.23,0,0,0,1.23,12.31,0,0.62,0,72.62,13.23,13.54,100,1,0,3,5,2,2,4,17,0,0,0,0,0,0,16.56,6.87,76.1,4.18,10.27,27.66,43.45,14.43,3.705882353,0,2.03,6.9,4.2,0.76,3.52,0.16,4.76,3.26,13.2,0.04,0.11,72.62,0
4,MPT7,0,60,124,0,0,0,0,0,0,0,59,0,8,0,8,66,0,325,184,0,184,184,0,0,325,0,0,0,18.46,38.15,0,0,0,0,0,18.15,0,2.46,0,2.46,20.31,0,0,0,56.61,20.62,22.77,100,0,0,0,8,5,2,2,6,0,0,7,1,1,2,23.9,12.35,61.33,3.84,17.15,32.96,31.55,14.5,3.882352941,2.470588235,2.6,6.4,3.7,0.71,2.81,0.21,2.65,0.01,17.7,0.02,0.16,56.61,0
5,MPT8,92,104,38,0,0,0,0,0,0,0,3,0,9,0,5,74,0,325,142,0,142,142,0,0,325,28.31,0,0,32,11.69,0,0,0,0,0,0.92,0,2.77,0,1.54,22.77,0,28.31,0,43.69,3.69,24.31,100,0,0,0,16,1,0,0,17,0,0,0,0,0,0,12.44,0.11,85.16,2.56,18.6,47.46,25.59,5.79,3.058823529,0,2.03,6.2,3.8,0.6,1.76,0.1,22.5,8.38,37.9,0.4,0.09,43.69,0
6,VWT3,4,48,123,1,2,17,0,0,0,0,52,0,1,0,7,70,0,325,191,0,191,172,19,0,325,1.23,0,0,14.77,37.85,0.31,0.62,5.23,0,0,16,0,0.31,0,2.15,21.54,0,1.23,0,58.78,16.31,23.69,100,0,0,0,6,3,5,3,17,0,0,0,0,0,0,13.42,11.52,71.59,1.44,7.74,31.04,42.34,17.44,4.294117647,0,5.09,4.5,1.9,0.3,0.8,0.16,11.1,1.95,12.2,0.08,0.22,58.78,0
7,VWT5,9,106,34,0,0,1,0,0,0,0,70,0,1,0,7,97,0,325,141,0,141,140,1,0,325,2.77,0,0,32.62,10.46,0,0,0.31,0,0,21.54,0,0.31,0,2.15,29.85,0,2.77,0,43.39,21.85,32,100,0,1,0,7,3,3,3,14,0,0,0,4,0,1,13.43,14.82,67.43,0.75,6.75,30.87,47.59,14.04,3.941176471,1.294117647,4.86,4.6,2,0.31,0.92,0.11,10,5.15,15.8,0.06,0.14,43.39,0
8,VWT7,0,77,134,0,0,0,0,0,0,0,37,0,2,0,3,71,1,325,211,0,211,211,0,0,325,0,0,0,23.69,41.23,0,0,0,0,0,11.38,0,0.62,0,0.92,21.85,0.31,0,0,64.92,12,23.08,100,0,0,0,2,3,7,5,17,0,0,0,0,0,0,13.41,6.45,69.14,0.69,8.09,36.27,42.84,12.1,4.882352941,0,5.09,5.2,4,0.66,1.63,0.35,29.5,16.3,39.9,1.14,0.33,64.92,0
9,VWT8,1,133,123,0,0,0,1,0,0,0,3,0,4,0,3,57,0,325,257,0,257,256,0,1,325,0.31,0,0,40.92,37.85,0,0,0,0.31,0,0.92,0,1.23,0,0.92,17.54,0,0.31,0,79.08,2.15,18.46,100,1,0,0,7,2,4,3,17,0,0,0,0,0,0,12.43,8.89,76.47,0.27,3.6,21.71,51.23,23.19,3.941176471,0,5.08,5.4,1.9,0.34,0.68,0.09,10.3,8.25,17.6,0.03,0.13,79.08,0
10,VWT10,6,23,193,7,0,12,0,0,0,9,30,0,8,0,4,33,0,325,235,9,235,223,12,0,325,1.85,2.77,0,7.08,59.38,2.15,0,3.69,0,0,9.23,0,2.46,0,1.23,10.15,0,1.85,2.77,72.3,11.69,11.38,100,0,2,1,8,1,3,2,11,2,2,1,0,0,1,18.62,9.97,75.7,0.93,5.74,27.49,46.39,19.44,3.470588235,0.882352941,3.73,6.9,6.7,1.02,3.27,2.7,22.8,0.01,19,0.06,1.84,72.3,2.77
11,JPT1,3,49,62,10,0,0,3,0,57,5,35,0,0,0,7,94,0,325,124,62,181,178,0,3,325,0.92,1.54,17.54,15.08,19.08,3.08,0,0,0.92,0,10.77,0,0,0,2.15,28.92,0,0.92,19.08,38.16,10.77,31.08,100,0,6,6,5,0,0,1,6,9,3,0,0,0,0,19.29,21.44,54.31,1.06,1.78,17.21,56.19,23.76,2.294117647,0.882352941,5,6.95,8.84,0.81,3.11,5.4,15.1,3.86,0.01,1.57,1.29,55.7,1.54
12,JPT2,20,39,160,0,0,0,1,3,47,0,2,0,1,0,4,48,0,325,203,47,250,246,0,4,325,6.15,0,14.46,12,49.23,0,0,0,0.31,0.92,0.62,0,0.31,0,1.23,14.77,0,6.15,14.46,62.46,0.92,16,100,2,4,5,1,2,1,2,10,3,3,0,0,1,0,17.29,16.41,62.74,0.46,3.83,21.76,47.64,26.31,2.470588235,0.823529412,4.86,5.94,3.36,0.72,1.48,0.24,14.2,0.23,0.71,2.53,1.29,76.92,0
13,JPT3,0,38,2,1,0,7,0,0,138,33,31,0,0,0,10,65,0,325,48,171,186,179,7,0,325,0,10.15,42.46,11.69,0.62,0.31,0,2.15,0,0,9.54,0,0,0,3.08,20,0,0,52.61,14.77,9.54,23.08,100,1,3,7,1,0,2,4,0,3,8,1,1,2,3,15.29,26.74,52.33,0.34,3.96,23.23,46.44,26.03,3.176470588,3.176470588,5.54,5.88,2.99,0.14,0.45,1.89,6.91,3.48,1.96,0.69,1.52,57.23,10.15
14,JPT4,0,9,3,0,0,1,0,15,195,26,33,0,3,0,4,36,0,325,28,221,223,207,1,15,325,0,8,60,2.77,0.92,0,0,0.31,0,4.62,10.15,0,0.92,0,1.23,11.08,0,0,68,8.62,11.08,12.31,100,0,4,7,3,0,0,4,0,9,7,2,0,0,0,19.29,30.07,45.22,0.56,0.84,20.36,46.14,32.11,3,1.705882353,6.74,5.93,3.44,0.49,0.95,1.66,10.4,1.96,0.01,0.51,1.25,68.62,8
15,JPT5,25,76,63,5,1,2,2,0,55,23,22,0,0,0,4,47,0,325,149,78,204,199,3,2,325,7.69,7.08,16.92,23.38,19.38,1.54,0.31,0.62,0.62,0,6.77,0,0,0,1.23,14.46,0,7.69,24,45.85,6.77,15.69,100,0,4,2,3,2,1,5,12,2,1,0,0,0,2,11.29,21.06,64.74,0.19,2.08,18.02,52.2,27.51,3.529411765,0.941176471,5.42,6.28,3.25,0.68,0.83,2.48,9.05,2.85,0.01,0.56,3.27,62.77,7.08
16,SPT1,31,0,0,0,0,0,0,0,72,88,16,0,13,0,2,103,0,325,0,160,72,72,0,0,325,9.54,27.08,22.15,0,0,0,0,0,0,0,4.92,0,4,0,0.62,31.69,0,9.54,49.23,0,8.92,32.31,100,0,9,3,4,0,0,2,0,10,4,0,0,0,0,36.58,23.55,29.52,0.36,1.35,10.73,44.99,42.57,2.294117647,1.058823529,6.25,6.45,3.99,0.24,1,3.39,13.8,4.31,0.13,0.22,13.1,22.15,27.08
17,SPT2,9,0,5,0,0,2,0,0,21,147,9,1,5,0,3,120,3,325,7,168,28,26,2,0,325,2.77,45.23,6.46,0,1.54,0,0,0.62,0,0,2.77,0.31,1.54,0,0.92,36.92,0.92,2.77,51.69,2.16,4.62,38.77,100,0,6,1,0,4,4,2,7,7,1,1,0,1,0,30.58,22.81,18.94,0.71,6.04,23.5,41.62,28.13,3.294117647,1,8.1,7.32,4.97,0.31,0.94,4.42,9.49,5.59,0.22,0.16,3.77,8.62,45.23
18,SPT3,13,36,5,0,0,0,0,0,47,33,37,0,0,2,12,134,6,325,41,80,88,88,0,0,325,4,10.15,14.46,11.08,1.54,0,0,0,0,0,11.38,0,0,0.62,3.69,41.23,1.85,4,24.61,12.62,12,46.77,100,2,3,8,2,0,2,1,3,1,7,1,1,2,1,19.29,23.07,53.67,0.91,2.94,18.47,52.21,25.47,2.411764706,2.235294118,3.87,6.16,3.93,0.45,1.34,1.46,18.2,1.54,0.01,0.97,2.43,27.08,10.15
19,SPT4,10,164,8,0,0,5,0,0,64,0,8,0,1,0,10,55,0,325,177,64,241,236,5,0,325,3.08,0,19.69,50.46,2.46,0,0,1.54,0,0,2.46,0,0.31,0,3.08,16.92,0,3.08,19.69,54.46,2.77,20,100,0,2,6,1,1,3,4,15,1,1,0,0,0,0,13.29,14.74,68.32,0.1,6.05,32.95,39.91,20.99,3.529411765,0.176470588,8.54,5.79,1.73,0.61,1.79,0.71,15.5,0.65,0.5,1.06,4.5,74.15,0
20,SPT5,9,202,13,0,0,1,0,0,0,0,20,0,13,0,0,62,5,325,216,0,216,215,1,0,325,2.77,0,0,62.15,4,0,0,0.31,0,0,6.15,0,4,0,0,19.08,1.54,2.77,0,66.46,10.15,20.62,100,0,0,8,6,2,1,0,13,4,0,0,0,0,0,13.29,10.74,73.92,0.18,2.4,21.68,55.2,20.54,2.764705882,0.235294118,3.23,5.71,1.72,0.25,0.79,0.18,13.1,0.24,0.01,0.69,2.9,66.46,0
